#	Function Name	Class	Category	Signature	Return Type	Description	Algorithm / Implementation	Parameters	Example Usage	Performance Notes	Used In
1	ValidateEmail	EmailValidator	Email Validation	(email)	BIT	Validates whether a string is a correctly formatted email address using RFC-5322-style regex.	Applies regex: ^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$ to trimmed input. Returns 0 for NULL/empty.	@email NVARCHAR(200)	SELECT dbo.ValidateEmail('john@example.com') -- Returns: 1	Very fast — O(n) regex match. Safe on millions of rows.	sp_AuditCandidateEmails, trg_ValidateEmail_OnInsert
2	IsDisposableEmail	EmailValidator	Email Validation	(email)	BIT	Detects whether an email address belongs to a known disposable/temporary email provider.	Extracts domain via ExtractEmailDomain, checks against hardcoded list of 15+ disposable providers.	@email NVARCHAR(200)	SELECT dbo.IsDisposableEmail('user@tempmail.com') -- Returns: 1	Very fast — dictionary lookup.	sp_AuditCandidateEmails, trg_ValidateEmail_OnInsert
3	ExtractEmailDomain	EmailValidator	Email Validation	(email)	NVARCHAR(200)	Extracts the domain portion of an email address (the part after the @ symbol).	Splits string at '@' character, returns right portion. NULL if no @ found.	@email NVARCHAR(200)	SELECT dbo.ExtractEmailDomain('user@example.com') -- Returns: example.com	Very fast — string manipulation.	sp_AuditCandidateEmails, Used for persisted computed columns
4	HashPassword	SecurityFunctions	Security	(password)	NVARCHAR(500)	Hashes a password using PBKDF2 with HMAC-SHA256, 32-byte random salt, and 100,000 iterations.	Generates 32-byte random salt, derives 32-byte key with Rfc2898DeriveBytes (PBKDF2, HMAC-SHA256, 100k iterations), concatenates salt+hash, returns Base64.	@password NVARCHAR(500)	INSERT INTO Users (PasswordHash) VALUES (dbo.HashPassword('MySecureP@ss1'))	Intentionally slow (~100ms). Do not call in loops. Cache results.	User registration, password changes
5	VerifyPassword	SecurityFunctions	Security	(pwd, hash)	BIT	Verifies a plain-text password against a stored PBKDF2 hash. Resistant to timing attacks.	Decodes Base64 hash, extracts embedded 32-byte salt, re-derives hash with same parameters, compares byte-by-byte in constant time.	@password NVARCHAR(500), @storedHash NVARCHAR(500)	SELECT CASE WHEN dbo.VerifyPassword(@input, PasswordHash)=1 THEN 'OK' END FROM Users	Fast (~same as HashPassword). Constant-time comparison prevents timing attacks.	User login authentication
6	GenerateSecureToken	SecurityFunctions	Security	(length)	NVARCHAR(300)	Generates a URL-safe, cryptographically random token of the requested length.	Fills byte array using RandomNumberGenerator (CSPRNG), converts to Base64, replaces + with A and / with B for URL safety, strips padding =, trims to requested length.	@length INT (min 8, default 32)	SELECT dbo.GenerateSecureToken(32) -- Returns: e.g. 'aBcDeFgHiJkLmNoPqRsTuVwXyZ012345'	Fast — CSPRNG with Base64 conversion.	Session tokens, password reset links, API keys
7	EncryptSensitiveData	SecurityFunctions	Security	(text, key)	NVARCHAR(MAX)	Encrypts plain text using AES-256 symmetric encryption. IV is prepended to ciphertext.	Derives 256-bit AES key via SHA-256 of key string, generates random 16-byte IV, encrypts using AES-256 CBC mode, prepends IV to ciphertext, returns Base64.	@plainText NVARCHAR(MAX), @key NVARCHAR(200)	UPDATE Candidates SET NationalID = dbo.EncryptSensitiveData(NationalID, 'VaultKey2024')	Fast for small-medium texts. Key appears in query logs — use with caution.	Storing PII, sensitive candidate data
8	LevenshteinDistance	StringSimilarity	String Similarity	(s1, s2)	INT	Computes minimum single-character edits (insertions, deletions, substitutions) to change one string into another.	Wagner-Fischer dynamic programming algorithm. Builds (m+1)×(n+1) matrix. O(m×n) time and space.	@s1 NVARCHAR(MAX), @s2 NVARCHAR(MAX)	SELECT dbo.LevenshteinDistance('kitten', 'sitting') -- Returns: 3	O(m×n) — scales with string length. Avoid on very long texts (>1000 chars) in large joins.	sp_FuzzySearchCandidates, duplicate detection
9	JaroWinklerSimilarity	StringSimilarity	String Similarity	(s1, s2)	FLOAT	Computes Jaro-Winkler similarity score between two strings. Optimized for short strings like names with prefix bonus.	Finds matching chars within window, counts transpositions, computes Jaro score, adds Winkler prefix bonus (up to 4 chars, scale 0.1). Returns 0.0-1.0.	@s1 NVARCHAR(MAX), @s2 NVARCHAR(MAX)	SELECT dbo.JaroWinklerSimilarity('Martha', 'Marhta') -- Returns: ~0.961	Fast — O(n) with constant window. Designed for name matching.	sp_FuzzySearchCandidates, name matching searches
10	CosineSimilarity	StringSimilarity	String Similarity	(t1, t2)	FLOAT	Computes cosine similarity between two text strings using term-frequency word vectors.	Tokenizes into word arrays, builds term-frequency dictionaries, computes dot product and magnitudes, returns dot/(|v1|×|v2|). 0.0-1.0.	@text1 NVARCHAR(MAX), @text2 NVARCHAR(MAX)	SELECT dbo.CosineSimilarity('java developer spring', 'java engineer spring boot') -- ~0.667	Medium — depends on text length and unique words. Good for document/resume matching.	Resume-job description matching, skill similarity
